Frame #,Point 1 X,Point 1 Y,Point 2 X,Point 2 Y
169,198.57426166534424,483.31830382347107,172.7235746383667,473.1080996990204
170,198.61767768859863,483.0817973613739,172.77032375335693,473.20430517196655
171,198.6105251312256,482.9035484790802,172.88207530975342,473.2808768749237
172,198.61435890197754,482.7192485332489,173.24606895446777,473.2545483112335
173,198.70784282684326,482.6876735687256,173.42883110046387,473.29365491867065
174,198.72372150421143,482.693692445755,173.60017776489258,473.3254551887512
175,198.7965202331543,482.69723296165466,174.08247470855713,473.3584141731262
176,199.2676591873169,482.8914141654968,174.74365711212158,473.5602557659149
177,199.56573486328125,483.17880749702454,175.13550281524658,473.7950563430786
178,199.84614372253418,483.50517868995667,175.72899341583252,474.0307903289795
179,200.0513792037964,483.7231135368347,176.4305591583252,474.0401566028595
180,201.04376792907715,484.4755697250366,177.22093105316162,474.22452092170715
181,201.9501543045044,485.1830291748047,177.68938064575195,474.3632769584656
182,203.02818775177002,485.80628871917725,178.27144145965576,474.7059667110443
183,203.36086750030518,486.2979054450989,178.61454963684082,474.9569892883301
184,203.6617612838745,486.8294656276703,178.7186336517334,475.1660406589508
185,203.9682912826538,487.0194625854492,178.94014835357666,475.1767587661743
186,204.12766456604004,487.0937490463257,179.2337465286255,475.1656222343445
187,204.53214168548584,487.0690619945526,179.65197086334229,475.13453006744385
188,204.73191261291504,487.03529834747314,179.91917610168457,475.1148319244385
189,204.74824905395508,487.01064348220825,180.130934715271,475.0602114200592
190,204.74002361297607,486.8997609615326,180.61739444732666,474.8864686489105
191,204.72754955291748,486.6383743286133,180.6908369064331,474.7050976753235
192,204.4316053390503,486.16307616233826,180.82634925842285,474.5085346698761
193,204.4811725616455,486.1114168167114,181.0118293762207,474.3370449542999
194,204.56312656402588,485.77761054039,181.28796100616455,474.06680703163147
195,204.55517292022705,485.5292272567749,181.47435665130615,473.96718978881836
196,204.52096939086914,485.2302145957947,181.6239595413208,473.8877856731415
197,204.49373245239258,485.1167893409729,181.66633129119873,473.8274359703064
198,204.5015001296997,485.0994408130646,181.7371702194214,473.75794529914856
199,204.52561855316162,485.0996661186218,181.77951335906982,473.71729373931885
200,204.53912258148193,485.1002776622772,181.81297302246094,473.6790883541107
201,204.58770275115967,485.1012110710144,181.81747913360596,473.63956332206726
202,204.58312511444092,485.0771677494049,181.81466102600098,473.6360228061676
203,204.56605911254883,484.9897491931915,181.79869651794434,473.63759994506836
204,204.56358432769775,484.979932308197,181.77905559539795,473.68526816368103
205,204.56870555877686,485.0025272369385,181.7766523361206,473.79106521606445
206,204.5311975479126,484.99911546707153,181.7588710784912,473.82524728775024
207,204.52932357788086,484.9929356575012,181.72993183135986,473.9612352848053
208,204.52128410339355,484.98823642730713,181.71797275543213,474.0347492694855
209,204.51936721801758,484.9864983558655,181.69997692108154,474.0354573726654
210,204.49486255645752,484.9096691608429,181.68007850646973,474.0310800075531
211,204.40587043762207,484.7701406478882,181.67441368103027,474.0204906463623
212,204.36976432800293,484.7708487510681,181.67226791381836,474.01601672172546
213,204.34800624847412,484.8093116283417,181.6706657409668,474.04659390449524
214,204.34611797332764,484.85183000564575,181.66916370391846,474.09513115882874
215,204.3383502960205,484.90931510925293,181.66817665100098,474.1694176197052
216,204.32594776153564,484.9964761734009,181.66656017303467,474.2288661003113
217,204.27490711212158,485.0339412689209,181.66205406188965,474.2385220527649
218,204.00229454040527,485.0191032886505,181.6433572769165,474.25841331481934
219,203.7734842300415,484.94179129600525,181.642427444458,474.32397723197937
220,203.46106052398682,484.5882225036621,181.749587059021,474.3056309223175
221,203.33128452301025,484.23420310020447,182.02245712280273,474.13259625434875
222,203.3711814880371,483.8830804824829,182.43507385253906,473.95631074905396
223,204.9867582321167,483.2720196247101,183.99347305297852,473.4151268005371
224,208.04078578948975,483.2854092121124,186.22594356536865,473.27855944633484
225,211.62915229797363,483.2577931880951,189.72580432891846,472.8441059589386
226,214.48960304260254,482.78239846229553,192.29540348052979,472.0159149169922
227,219.17126655578613,482.2177505493164,195.39523601531982,472.41676568984985
228,221.61355018615723,481.7460572719574,197.77575016021729,473.3185350894928
229,223.61427783966064,481.41019105911255,201.50826930999756,473.64683747291565
230,223.334641456604,480.8700370788574,206.66699409484863,474.58813190460205
231,226.8662452697754,480.4816746711731,214.0857982635498,474.18113350868225
232,233.78814697265625,479.698029756546,221.1275339126587,472.6831090450287
233,237.94748783111572,480.1295864582062,224.043231010437,471.67924404144287
234,238.91183853149414,485.0112819671631,228.3680248260498,474.08586144447327
235,239.80759620666504,483.9036154747009,234.7388792037964,478.40503334999084
236,245.28342247009277,483.78912806510925,241.53857231140137,479.55795407295227
237,253.18127632141113,483.6233353614807,248.79770278930664,479.70556139945984
238,259.5220756530762,483.55674147605896,258.83588790893555,480.3533470630646
239,268.6143207550049,483.69977831840515,268.7944507598877,480.13402819633484
240,278.34606170654297,483.8906443119049,279.398717880249,479.4216763973236
241,291.07375144958496,483.5229456424713,287.79250144958496,475.260990858078
242,302.528772354126,481.6270959377289,298.30784797668457,474.7753608226776
